Year ,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1996,,,,,,5,6,3,4,5,2,2,,1,5,1,4,4,1,3,2
1996,,,,1,,1,1,,3,,,,,1,2,,,,,,1
1998,,,,,,,3,7,4,8,14,10,14,14,20,17,24,9,15,15,7
1998,,,,,,,,,,2,,2,3,2,2,,,,,,
1999,,,,,,,,,5,5,5,4,2,7,6,6,6,9,3,8,2
1999,,,,,,,2,4,3,10,7,7,19,12,16,6,25,24,20,20,10
2005,,,,,,,,,,,,,2,3,5,2,3,9,5,2,2
2001,,,,,,,,,,2,2,,1,4,2,2,2,1,4,1,2
2003,,,,,,,,,,,1,,1,2,1,,2,2,4,2,
2005,,,,,,,,,2,5,12,19,22,19,25,29,36,31,27,29,14
2007,,,,,,,,,,,,,,1,1,2,4,6,7,2,2
2007,,,,,,,,,,,,,,,,1,3,8,6,6,3
2008,,,,,,,,,,,,,,,,1,6,7,13,12,4
2012,,,,,,,,,,,,,,,,,,,,1,1
2012,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,2,4
2012,,,,,,,,,,,,,,,,,,,,2,1
1994,,1,1,2,2,3,4,4,3,,1,3,5,8,4,3,7,7,5,4,3
2011,,,,,,,,,,,,,,,,,,,,2,1
2012,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,2,1
2012,,,,,,,,,,,,,,,,,,,,3,
2012,,,,,,,,,,,,,,,,,,,1,1,1
2011,,,,,,,,,,,,,,,,,,,2,2,
2011,,,,,,,,,,,,,,,,,,1,,3,1
2012,,,,,,,,,,,,,,,,,,,1,3,1
2010,,,,,,,,,,,,,,,,,,,2,2,3
2011,,,,,,,,,,,,,,,,,,,2,2,4
1998,,,,,,,1,,,2,2,,,,,,1,1,1,,
2010,,,,,,,,,,,,,,,,,1,4,5,1,2
1995,,1,1,1,2,,2,1,1,,2,,,1,,2,1,1,1,1,1
2008,,,,,,,,,,,,,,,,,2,5,4,7,1
2010,,,,,,,,,,,,,,,,,,2,2,10,5
1996,,,,,,1,,1,1,,,4,3,1,1,1,1,1,3,,1
2010,,,,,,,,,,,,,,,,,,2,7,7,6
2007,,,,,,,,,,,,,,,,3,6,4,3,7,
2009,,,,,,,,,,,,,,,,,4,8,3,7,1
2009,,,,,,,,,,,,,,,,,4,4,7,9,4
2003,,,,,,,,,,1,,2,3,5,5,5,1,3,4,5,1
1997,,,,,1,1,1,2,,1,1,,2,1,5,3,3,3,8,4,5
2008,,,,,,,,,,,,,,,4,7,4,9,5,9,8
2001,,,,,,,,,1,,2,2,5,9,3,3,3,7,9,4,3
1999,,,,,,,,,,5,,3,9,3,6,3,5,6,5,3,4
2008,,,,,,,,,,,,,,,1,3,4,11,15,27,3
2007,,,,,,,,,,,,,,1,4,2,12,12,14,11,9
2007,,,,,,,,,,,,,,1,1,5,10,13,24,17,11
2005,,,,,,,,,,,,,,6,8,10,14,15,11,15,8
2003,,,,,,,,,,,1,3,4,7,10,13,13,16,9,14,8
2001,,,,,,,,,1,,5,5,4,12,10,6,18,13,8,20,10
1995,,,1,7,7,1,4,9,12,5,4,8,13,9,14,9,9,7,8,10,5
2001,,,,,,,,1,,3,6,6,20,14,10,12,17,14,17,19,4
2001,,,,,,,,,1,3,4,10,7,9,17,13,13,25,23,14,7
1997,,,,,3,4,11,7,11,6,10,11,14,8,13,11,11,13,5,9,3
2000,,,,,,,,2,4,12,7,11,12,18,14,22,16,15,18,14,9
1995,,,,2,4,6,7,15,8,17,14,23,27,28,26,27,39,36,41,36,18
2003,,,,,,,,,,2,10,22,45,68,66,72,92,103,89,81,53
